,target_id,smiles,pAc
13102,P23458,CC(C)NC(=O)C1=CNC2=NC=C(N=C12)OC3=CC=CC(=C3)C#N,5.5
13078,P23458,C1CN(C[C@@H]1OC2=CC=CC(=C2)NC3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54)C6=CC(=NC=C6)F,5.31
13595,P23458,C1C2=CC(=CC=C2)OCC3=CC(=CC=C3)NC4=NC=C(C(=N4)N1)Cl,7.414999999999999
13143,P23458,CN1C/C=C/COCC2=CC=C(O2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,5.74
13783,P23458,CN[C@H]1CCC([C@H](C1)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)S(=O)(=O)C(F)(F)F)C(=O)N,7.9049999999999985
13679,P23458,CN([C@@H]1CC[C@@H]([C@H](C1)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)Cl)C(=O)N)S(=O)(=O)C,7.63
13770,P23458,CN1C=C(C=N1)C2=NC=CC(=C2)NC3=NN(C=C3C(=O)N)[C@H]4CCCC[C@@H]4C#N,7.869999999999999
14032,P23458,CC1=C(C(=CC=C1)C)NS(=O)(=O)C2=CC=C(C=C2)NC3=NN(C=C3C(=O)N)[C@H]4CCCC[C@@H]4C#N,8.525
13821,P23458,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)C3=CC=CS3)N,7.995000000000001
13553,P23458,C[C@H](C(=O)N1CC(C1)C#N)NC(=O)C2=CNC3=NC=C(N=C23)C4CC4,7.33
13991,P23458,C1CC(C[C@@H]([C@H]1N2C=C(C(=N2)NC3=CC=C(C=C3)S(=O)(=O)C(F)(F)F)C(=O)N)C#N)N4CC[C@@H](C4)F,8.385
13438,P23458,CC(C)CS(=O)(=O)N1CCC[C@@H](C1)NC2=C(C=CC=N2)C3=CN=C4C(=N3)C=CN4,6.99
13132,P23458,CCC(=O)NC1=NN2C(=N1)C=CC=C2C3=CC=C(C=C3)OC,5.7
13260,P23458,CCOC1=CC=C(C=C1)C2=NC=CC3=NC(=NN32)NC(=O)C4CC4,6.38
13520,P23458,CS(=O)(=O)N1CCC[C@@H](C1)NC2=C(C=NN3C2=CC(=C3)C4=CC=CC=C4)C(=O)N,7.24
13583,P23458,CC1([C@@H](CC[C@H]1NC2=C(C=NN3C2=CC=C3)C(=O)N)N)C,7.39
14233,P23458,C1CC[C@H]([C@@H](C1)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)S(=O)(=O)NCCN4CCOCC4)C(=O)N,9.2
13295,P23458,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CO,6.5
14189,P23458,CC[C@H]1CN(C[C@H]1NC2=C(C=NN3C2=CC(=C3)C4=CN=C(C=C4)C)C(=O)N)C(=O)C5(CC5)C#N,9.0
13800,P23458,C1COC2=CC=CC(=C2)CNC3=NC(=NC=C3Cl)NC4=CC=CC1=C4,7.955
13479,P23458,CC(C)(C)NS(=O)(=O)C1=CC=C(C=C1)C2=CC3=C(S2)C(=CN=C3N)C(=O)NCCO,7.11
13052,P23458,C1=CC=C(C=C1)C2=NC3=C(N2CCCN)C=CC(=C3)C(=O)N,4.95
13632,P23458,C1CC(CN(C1)CC(F)(F)F)NC(=O)NC2=CN=C3C(=N2)C=CN3,7.52
13459,P23458,C1CC2=CC(=CC=C2)NC3=NC=C(C(=N3)NCC4=C(C=CC(=C4)OC1)Br)Cl,7.0699999999999985
13164,P23458,CCCC1=CC(=NC2=C1C3=C(S2)C(=NC=N3)N)N4CCCN(CC4)C,5.85
13098,P23458,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,5.47
13938,P23458,CC1(CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)C(F)(F)F)C(=O)N)C,8.265
13867,P23458,C1C[C@@H]([C@H](C[C@H]1NCC(F)(F)F)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)S(=O)(=O)C(F)(F)F)C(=O)N,8.105
13819,P23458,C1C[C@@H]([C@H](C[C@H]1NCC(F)(F)F)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)Cl)C(=O)N,7.994999999999999
13764,P23458,C[C@@H]1CCCC[C@@H]1N2C3=C4C=CNC4=NC=C3NC2=O,7.85
13573,P23458,C1C[C@@H]([C@H](C[C@H]1C(=O)N2CC3(C2)COC3)C#N)N4C=C(C(=N4)NC5=CC=C(C=C5)Cl)C(=O)N,7.37
13649,P23458,[C-]#[N+][C@H]1C[C@](CC[C@@H]1N2C=C(C(=N2)NC3=CC(=C(C=C3)Cl)F)C(=O)N)(C4CC4)O,7.56
13550,P23458,COC1=CC(=CC(=C1OC)OC)NC2=NC3=CC=CC(=C3O2)C4=CC=C(C=C4)NS(=O)(=O)C,7.33
13616,P23458,CC(C)CS(=O)(=O)N1CCC[C@@H](C1)NC(=O)NC2=CN=C3C(=N2)C=CN3,7.46
13677,P23458,CC1(CN(C1)[C@@H]2CC[C@@H]([C@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)C(F)(F)F)C(=O)N)C,7.625
14244,P23458,CC1(CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)[C@@H](C(F)(F)F)O)C(=O)N)C,9.260000000000002
14099,P23458,C1CC[C@@H]([C@H](C1)C#N)N2C=C(C(=N2)NC3=CN=C4C(=C3)CNC4=O)C(=O)N,8.705
13252,P23458,CN1CCN(CC1)C2=CC3=C(C=C2)C4=CC(=CC(=C4N3)C(=O)N)C5=CC(=C(C=C5)CN6CCOCC6)Cl,6.36
14115,P23458,C[C@@H]1C[C@H](CC[C@@H]1N(C)C2=NC=NC3=C2C=CN3)CS(=O)(=O)N4CCC[C@H](C4)O,8.77
13497,P23458,C[C@@]1(CC[C@H](C1(C)C)NC2=C(C=NN3C2=CC=C3)C(=O)N)O,7.17
13287,P23458,C1CN(CCC1N2C=NC3=CN=C4C(=C32)C=CN4)CC5=CN=CN=C5,6.46
13413,P23458,CNS(=O)(=O)C1=CC=C(C=C1)C2=C3C(=CC=C2)N=CC(=N3)C4=CC(=C(C(=C4)OC)OC)OC,6.89
13314,P23458,C[C@]1(CCC[C@H]1NC2=C(C=NN3C2=CC=C3)C(=O)N)O,6.57
14053,P23458,C1CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)[C@H](C(F)(F)F)O)C(=O)N,8.575
13517,P23458,C1CCC([C@@H](C1)C#N)N2C=C(C(=N2)NC3=CC=CC=C3)C(=O)N,7.24
13845,P23458,CS(=O)(=O)C1=CC=C(C=C1)NC2=NN(C=C2C(=O)N)[C@H]3CCCC[C@@H]3C#N,8.045
14049,P23458,CN(C)[C@@H]1CC[C@@H]([C@H](C1)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)C(F)(F)F)C(=O)N,8.57
13943,P23458,CS(=O)(=O)N[C@H]1CCC([C@H](C1)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)F)C(=O)N,8.274999999999999
13469,P23458,CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C,7.09
14006,P23458,CC[C@@H]1CN(CC[C@H]1NC2=C(C=NN3C2=CC(=C3)C4=CC(=NC=C4)C)C(=O)N)C(=O)C(C)(C)O,8.44
14040,P23458,CC1(CCC[C@H]1NC2=C(C=NN3C2=CC(=C3)C4=CC=CC=C4)C(=O)N)C,8.54
14108,P23458,CCOC1=NC=C(C=N1)C2=CN3C(=C2)C(=C(C=N3)C(=O)N)N[C@@H]4CN(C[C@@H]4CF)C(=O)C5(CC5)C#N,8.74
13043,P23458,C1=CC2=C(C=C1C(=O)N)N=C(N2CCN)C3=CC=NC=C3,4.49
13169,P23458,C1CCN(C1)CCOC2=C3COCC=CCOCC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2,5.89
13060,P23458,C1COCCN1C2=C3COCC=CCOCC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2,5.06
13935,P23458,C1CC[C@@H]([C@H](C1)C#N)N2C=C(C(=N2)NC3=CC=C(C=C3)CN)C(=O)N,8.26
13063,P23458,C1=CC(=C(N=C1)N)C2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,5.09
13165,P23458,C1CNCCC1N2C=NC3=CN=C4C(=C32)C=CN4,5.85
14223,P23458,C[C@@]1(CC[C@H](C1(C)C)NC2=C(C=NN3C2=CC(=C3)C4=CN=CC=C4)C(=O)N)N,9.15
13730,P23458,C[C@@]1(CCCC[C@@H]1NC2=C(C=NN3C2=CC(=C3)C4=CC=CC=C4)C(=O)N)O,7.76
13604,P23458,C1CC2=CC(=CC=C2)OCCC3=CC(=CC=C3)NC4=NC=C(C(=N4)NC1)Cl,7.4475
13059,P23458,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)NC4=CC=C(C=C4)OCCCN5C=CN=C5,5.06
13297,P23458,C1COCCN1C2=CC=C(C=C2)C3=CC4=C(S3)C(=CN=C4N)C(=O)NCC5=CC=CC=C5,6.51
13972,P23458,CS(=O)(=O)C1=C(C=C(C=C1)NC2=NN(C=C2C(=O)N)C3CCCC[C@@H]3C#N)F,8.35
13162,P23458,COC1=CC(=CC(=C1OC)OC)C2=NC3=C(C=CC=C3N=C2)C4=CC=C(C=C4)CN5CCOCC5,5.82
13631,P23458,CC(=O)NC1=CC=CC=C1C2=CN3C(=C2)C(=C(C=N3)C(=O)N)N[C@@H]4CC[C@](C4(C)C)(C)N,7.52
13525,P23458,CC1(CCN1[C@@H]2CC[C@@H]([C@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)C(F)(F)F)C(=O)N)C,7.26
13326,P23458,CCC1=C(SC(=N1)NC2=C3C(=C4C=C(N(C4=N2)CC)C(=O)N(C5CC5)C6CC6)N(C=N3)C)C,6.6
14074,P23458,C1CC1NC2CCC([C@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)S(=O)(=O)C(F)(F)F)C(=O)N,8.65
13903,P23458,C1CC[C@@H]([C@H](C1)C#N)N2C=C(C(=N2)NC3=CC(=NC=C3)F)C(=O)N,8.19
13625,P23458,C[C@@H](C1CC1)N[C@H]2CC[C@@H]([C@H](C2)C#N)N3C=C(C(=N3)NC4=CN=C(C=C4)C(F)(F)F)C(=O)N,7.5
13688,P23458,C1CC(C1)CN[C@H]2CC[C@H]([C@@H](C2)C#N)N3C=C(C(=N3)NC4=CC=C(C=C4)C(F)(F)F)C(=O)N,7.66
13468,P23458,COC1=CC(=CC(=C1OC)OC)NC2=NC3=CC=CC(=C3O2)C4=CC=C(C=C4)CN5CCOCC5,7.09
