,target_id,smiles,pAc
24931,P43405,C[C@@H](CNC1=C2C(=CC(=N1)C3=CC(=C(C=C3)OC)OC)N=CN(C2=O)C)NS(=O)(=O)C,6.84
25508,P43405,C[C@@H]1[C@H](CC(=O)N1)CNC2=C3C=CC=NC3=CC(=N2)C4=CC(=C(C=C4)OC)OC,7.64
25270,P43405,CC(C)(C)NC(=O)C1=CNC2=NC=C(N=C12)C3=NN(C4=C3C=C(C=C4)OC(F)F)CCCN(C)C,7.296666666666666
24242,P43405,C1=CC(=CC=C1NC2=NC=CC(=N2)C3=NC=CS3)OCC4=CC=NC=C4,5.7
24178,P43405,CC(C)NC1=C2C(=CC(=N1)OCCCN3CCN(CC3)C)N=CN(C2=O)C,5.39
25420,P43405,C1CC(CC1O)OC2=CC(=NC=C2)C3=NC(=NC=C3)NC4=CC5=C(C=C4)NC(=C5)C(=O)N6CCOCC6,7.51
25751,P43405,CS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N,8.084999999999999
24218,P43405,CC(C)(C1=NC=C(C=C1)C2=NC(=C3C(=C2)N=CN(C3=O)C)NC[C@@H]4CCCN4)O,5.56
25673,P43405,COC1=C(C=C(C=C1)C2=NC(=C3C=CC=NC3=C2)NC[C@@H]4CC(=O)NC4)OC,7.93
25907,P43405,C[C@H]([C@@H]1CC(=O)NC1)OC2=CC(=CC3=C2C=CC=N3)C4=CC5=C(C=C4)C(=O)N(C=N5)C,8.44
25953,P43405,CN1C=C(N=C1)C2=NC(=NC=C2)NC3=CC(=C4C(=C3)C=C(N4)C(=O)N5CCN(CC5)CCOC)Cl,8.62
25100,P43405,CC(C)(C)NC(=O)C1=CNC2=NC=C(N=C12)C3=NN(C4=C3C=CC(=C4)F)CCC(CO)O,7.06
24520,P43405,CC(C)(C1=NC=C(C=C1)C2=NC(=C3C(=C2)N=CN(C3=O)C)N[C@H]4CCOC4)O,6.33
25238,P43405,CC(C)C1=C(C=CC(=N1)NC2=CC(=NN=C2C(=O)N)N[C@@H]3CCOC[C@@H]3N)OC,7.25
