,target_id,smiles,pAc
11300,P11309,C[C@H]1CN(C[C@H]([C@H]1N2C=CN=N2)N)C3=C(C=NC=C3)NC(=O)C4=NC(=C(C=C4)F)C5=C(C=C(C=C5F)OC)F,9.493333333333332
10865,P11309,C1CN(CCN1)C2=NC3=C(C=NN3C=C2)C4=CC5=CC=CC=C5C=C4,8.17
10289,P11309,C1C(CN1)NC2=NC(=CN=C2)C3=CC4=C(C=C3)OC(=C4)C(=O)O,6.35
10933,P11309,CCOC(=O)N[C@H]1[C@H](C[C@H](C[C@H]1N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F)C,8.333333333333334
10936,P11309,C[C@H]1C[C@H](C[C@H]([C@@H]1O)N)C2=C(C=NC=C2)NC(=O)C3=CC=CC(=N3)C4=C(C=CC(=C4F)C)F,8.34
10673,P11309,CN(C)CCOC1=NC(=CN=C1)C2=CC3=C(C=C2)NC=C3C4=NC(=NC=C4)N,7.69
10493,P11309,C1=CC(=CC=C1CNC2=NC3=C(C=C2)N=NN3C4=CC=C(C=C4)O)F,7.16
10598,P11309,CCN1CCC(CC1)CNC2=NC3=C(C=C2)N=NN3C4=CC(=CC=C4)OC(F)(F)F,7.46
10132,P11309,CC1=C(C(=C2C(=C1C=O)C=C(O2)C3=C(C(=C(C(=C3C)O)O)O)C=O)O)O,5.35
11056,P11309,C[C@H]1CN(C[C@H]([C@@H]1O)N)C2=C(C=NC=C2)NC(=O)C3=CC=CC(=N3)C4=C(C=CC(=C4F)C)F,8.64
10823,P11309,C[C@@H]1C[C@H](C[C@H]([C@H]1O)O)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,8.09
10228,P11309,C1=CC(=C(C(=C1)F)C2=NC(=CS2)C(=O)NC3=CN=CC=C3)F,6.0
10555,P11309,C1=CC=NC(=C1)NC2=NC3=C(N2)C(=C(C(=C3Br)Br)Br)Br,7.33
10180,P11309,C1CNCCC1OC2=NC3=C(C=C2)N=NN3C4=CC(=CC=C4)OC(F)(F)F,5.62
10557,P11309,CN1CCN(CC1)C2CCN(CC2)C3=NC4=C(N3)C(=C(C(=C4Br)Br)Br)Br,7.34
10424,P11309,C1CC1CNC2=NN3C(=NC=C3C4=CC=C(C=C4)C(=O)O)C=C2,6.92
10276,P11309,C[C@@H](CN1CCN(CC1)C)NC(=O)C[C@H]2CNC(=O)C3=CC(=CN23)C4=CC(=CC=C4)Cl,6.28
10838,P11309,COC1=CC=CC(=C1N2CCC[C@H](C2)N)/C=C\3/C(=O)NC(=O)S3,8.11
10436,P11309,C1=CC(=CC(=C1)CNC2=NC3=C(N2)C(=C(C(=C3Br)Br)Br)Br)CN,6.97
