,target_id,smiles,pAc
28440,P49841,CC1=C2[C@@H](C3=C(CC(CC3=O)(C)C)N=C2NN1)C4=CC=CC=C4,6.63
29172,P49841,C1CN2C=C(C3=CC(=CC(=C32)CN1C(=O)N4CCOCC4)F)C5=C(C(=O)NC5=O)C6=COC7=CC=CC=C76,10.89
28696,P49841,CN1C(=O)C=C(N=C1N2CCOCC2)C3=C(C=NC=C3)F,7.17
27982,P49841,CC1=C(/C(=C/[C@H](C)CC/C=C(/C)\CCCC2=COC(=C2)CC3=COC=C3)/OC1=O)O,5.635
27993,P49841,C1CN(CCC1C(C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,5.675000000000002
28284,P49841,C1=CC=C(C=C1)CCCC2=NC(=O)C=C(N2)C3=CC=NC=C3,6.3
27941,P49841,C1=CC=C(C=C1)NC2=NC(=NC=C2[N+](=O)[O-])NC3=CC=CC=C3,5.55
27740,P49841,CC1=C(NC2=NC=CN=C12)C3(CC3)C4=CC=C(C=C4)Cl,4.74
27864,P49841,C1CN(CCN1CCCNC(=O)C2=NC(=NO2)C3=CC=NC=C3)C4=CC=CC=C4,5.3
28370,P49841,C1OC2=C(O1)C=C(C=C2)C3=NN=C(O3)SCC4=CC=C(C=C4)C5=CC=C(C=C5)C#N,6.5
27934,P49841,CC(C)N1C2=CN=C(N=C2N(C1=O)C3=CC=CC=C3)NC4=CC=CC=C4,5.54
27650,P49841,CC(C)(C1=CC=C(C=C1)NC2=NC3=C(N2)C=C(C=C3)C#N)O,4.22
28676,P49841,CN1C=C(C2=C1C=CC(=C2)Cl)C3=C(C(=O)NC3=O)C4=NN=C5N4C=CC=C5,7.13
28455,P49841,COC1=CC(=CC(=C1OC)OC)/C=C/2\C(=O)NC(=O)N2,6.67
28862,P49841,C1COCCOCCOCCOCCN2C=C(C3=CC=CC=C32)C4=C(C5=CN1C6=CC=CC=C65)C(=O)NC4=O,7.59
28176,P49841,C1=CC(=CC(=C1)Cl)CSC2=NN=C(O2)C3=CC=NC=C3,6.09
28184,P49841,C1CN(CCC1(CC2=CC=C(C=C2)Cl)CN)C3=NC=NC4=C3C=CN4,6.1
28867,P49841,COCCN1C=C(C2=CC(=CN=C21)Br)C3=C(C(=O)NC3=O)C4=COC5=CC=CC=C54,7.6
28424,P49841,CNC(=O)C1=CC=C(C=C1)CNC(=O)C2=C(OC=N2)C3=CC=C(C=C3)OC,6.6
29005,P49841,CN(C)CCNS(=O)(=O)C1=CC=C(C=C1)/C=N/NC2=NC=NC3=C2C=NN3C4=CC(=CC=C4)OC,8.0
29149,P49841,C[C@H]1COC2=C(C(=C(C3=C2N1C=C(C3=O)C#N)N)F)NCCCN4C=CC=N4,9.07
27681,P49841,CCCCCCCCCCCCCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N3CCC[C@H]3C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](COP(=O)(O)O)C(=O)N5CCC[C@@H]5C(=O)O,4.4
28120,P49841,C1=CC(=CC=C1C(=O)CBr)Cl,6.0
28103,P49841,COC1=CN=C(N=C1C2=CC3=C(N2)CCNC3=O)COC4=CC=C(C=C4)F,5.95
27677,P49841,CN1C=C(C2=C1C=CC(=C2)F)C3=NC(=CS3)C4=CNC5=C4C=CC=N5,4.37
27802,P49841,C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=NC=CN=C4C=C3,5.02
28579,P49841,C1=CNC(=O)C2=C1OC(=C2)C3=CC=NC=C3,6.9
28214,P49841,CC1=NN(C2=C1C3=C(C4=CC=CN42)C(=O)NC3=O)C5=CC=CC=C5,6.16
28294,P49841,COC1=CC2=C(C=C1)N(C=C2C3=C(C(=O)NC3=O)N4C=CC5=C4C=CC=N5)CCCN6C=CN=C6,6.32
28075,P49841,C1=CC2=C(C(=C1)O)C(=CN2)C3=NC(=NC=C3)N,5.89
27968,P49841,C1=CC=NC(=C1)C(=O)C(Br)Br,5.6
27612,P49841,CCCOC(=O)C1=CC2=C(C=C1)NC3=C2CC(=O)NC4=CC=CC=C43,3.15
28023,P49841,C1=CC(=CC(=C1)Cl)N2C=C(N=N2)C3=CC=NC=C3,5.74
29057,P49841,COC1=NC(=NC=C1C(=O)N)C2=CC(=NC=C2)NC(=O)C3CC3,8.23
27914,P49841,CN1CCN(CC1)CCCN2C3=C(C=CC=N3)C(=N2)C4=C(C(=O)NC4=O)C5=CN(C6=CC=CC=C65)C,5.48
27804,P49841,C1CCN(CC1)CC2=C(N=NN2C3=NON=C3N)C(=O)NCC4=CC=NC=C4,5.03
27665,P49841,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=CC=C(C=C2)Cl)C3=CC(=CC=C3)N,4.3
27901,P49841,CN(C)CCCN1C2=CC=CC=C2C(=N1)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6=CC7=CC=CC=C7N=C6,5.41
