,target_id,smiles,pAc
22743,P42345,CCC1=NC=NC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C=C3)C(=O)NCCN4CCOCC4)OC,7.66
22792,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC5=C(C=C4)NC(=O)CNC5=O)N6CCOC[C@@H]6C,7.7
22127,P42345,CC(C)(C1=CC2=C(S1)C(=NC(=N2)C3=C4C=NNC4=CC=C3)N5CCOCC5)O,6.89
22434,P42345,CCC1=NC=CN1C2=NC(=NC(=N2)C3=C4C=CNC4=CC=C3)N5CCOCC5,7.305
22776,P42345,CC(C)[C@H]1CN(C(=O)N1C2=NC3=C(C=NN3C=C2)C4=CC=C(C=C4)C5=NC=NN5)CC6CCNCC6,7.69
23618,P42345,CCC1=NC=CC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)CC(=O)N(C)C)F,8.7
21370,P42345,CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)C2=CC=CC=C2,5.0
22772,P42345,CCC1=NC=NC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C=C3)C(=O)N4CCN5CCCCC5C4)OC,7.68
23026,P42345,COC(=O)NC1=CC=C(C=C1)C2=NC3=C(C(=N2)N4CC5CCC(C4)O5)SC=C3,7.96
22142,P42345,C1COCCC1CCN2CC(=O)NC3=NC=C(N=C32)C4=CC5=C(C=C4)NC=C5,6.91
21583,P42345,CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N5CCC(CC5)C(=O)OC)/C4=C(C3=O)O)COC)C)C,5.77
22382,P42345,C1CC2CN(CC1O2)C3=NC(=NC4=C3SC=C4)C5=CC(=CC=C5)O,7.24
23090,P42345,C1CC[C@H]2[C@@H](C1)NC(=O)N2C3=NC4=C(C=NN4C=C3)C5=CC=C(C=C5)C6=NC=CN6,8.02
21462,P42345,COC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)[C@@H]4CCNC4)O,5.41
21825,P42345,CC1=NC(=C2C(=N1)N=CN2)C3=C(N=CC=C3)NC4=CN=C(N=C4)OC,6.37
22586,P42345,CCC1=NC=NC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C=C3)C(=O)NCC4CCN(C4)C)F,7.48
23500,P42345,CCC1=NC=NC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)CC(F)(F)F)F,8.52
22965,P42345,CCC1=NC=CC(=C1C#CC2=CN=C(C=C2)NC)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)CCOC)F,7.89
21716,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC=C(C=C4)CN(C)C(=O)COC)N5CCOC[C@@H]5C,6.17
21593,P42345,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N,5.8
22162,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)CN(C)S(=O)(=O)C)N5CCOC[C@@H]5C,6.92
21666,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)CN(C)C(=O)C(C)C)N5CCOC[C@@H]5C,6.05
22666,P42345,CCC1=NC=NC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C=C3)C(=O)N(C)O)C,7.56
22053,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)CNC5=CC=NN5)N6CCOC[C@@H]6C,6.77
21487,P42345,CC(C)N1C2=C(C(=N1)C3=CC=C(C=C3)CC#N)C(=NC=N2)N,5.46
23316,P42345,CCC1(CCN(CC1)C2=NC=NC(=C2C#CC3=CN=C(C=C3)N)C)O,8.3
23635,P42345,CC(C)[C@H]1COC(=O)N1C2=NC3=C(C=NN3C=C2)C4=CC(=C(C=C4)C5=NC=NN5)F,8.7
22555,P42345,CC1=NC(=C2C(=N1)N=CN2)C3=C(N=CC=C3)NC4=CC=C(C=C4)NC(=O)C,7.46
21862,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCC(CC5)CC6=CC=CC=C6,6.44
22826,P42345,C1COCC=C1C2=C3C=NN(C3=NC(=N2)C4=CC(=CC=C4)O)C5=CC=CC=C5,7.74
22494,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)NC5=CC=CC=C5,7.38
21770,P42345,CC1=NC(=C2C(=N1)N=CN2)C3=C(N=CC=C3)NC4=CC=CC5=C4C=NN5,6.275
22697,P42345,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)NC(C)COC,7.59
23586,P42345,CCC1=NC=NC(=C1C#CC2=CN=C(C=C2)N)C3=CC(=C(C(=C3)Cl)C(=O)N4CCN5C(=CN=C5C4)C)F,8.65
22597,P42345,CCC1=C(C(=NC=N1)N2CCN(CC2)C(=O)C)C#CC3=CN=C(C=C3)N,7.49
22242,P42345,CCN1CC(=O)NC2=NC=C(N=C21)C3=C(N=C(C=C3)C4=NC=NN4)C,7.05
22119,P42345,CCC1=C(C(=NC=N1)N2CCC3=C(C2)N=CN=C3N4CCOCC4)C#CC5=CN=C(C=C5)N,6.86
24019,P42345,COC1=C(C=C(C=N1)C2=CC3=C(C=C2)N=C(N=C3C4=CC=NC=C4)N)NS(=O)(=O)C5=C(C=C(C=C5)F)F,9.54
22522,P42345,CCC1=NC=CC(=C1C#CC2=C(N=C(C=C2)N)C)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)CC)F,7.42
21543,P42345,CC1=NC(=NC(=N1)C2=CC(=CN=C2NC3=CC(=CN=C3)OC)C(C)(C)O)N,5.675
21784,P42345,CC1=C(C2=CC=CC=C2N1)/C=C\3/C(=O)C4=C(C=C(C=C4O3)O)O,6.3
