,target_id,smiles,pAc
20380,P42338,C1COCCN1C2=NC(=NC(=C2)C(=O)N)NCC3=CC=CC=C3,5.6
21101,P42338,C1=CC(=CN=C1)C2=C3C=C(C=CC3=NC=C2)C4=CC(=C(N=C4)Cl)NS(=O)(=O)C5=CC=C(C=C5)F,8.0
20876,P42338,CC(C1=CC(=CN2C1=NC(=CC2=O)N3CCOCC3)C(=O)NCCN4CCNCC4)NC5=CC=CC=C5,7.12
21107,P42338,C1COCCN1CCNC2=CN=C3C=CC(=CC3=N2)C4=CC(=C(N=C4)Cl)NS(=O)(=O)C5=CC=C(C=C5)F,8.01
20371,P42338,C1COCCN1C2=NC(=CC(=N2)NCCC3=CC=CC=N3)C4=CC(=CC=C4)O,5.59
21152,P42338,CC1=NC=CC(=C1)C2=CC(=O)N=C(N2)NCC3=CC=CC4=CC=CC=C43,8.15
20715,P42338,CC1=C2C(=CC=C1)N=C(O2)CC3=NC(=O)C=C(N3)N4CCOCC4,6.53
20930,P42338,C1COCCN1C2=NC(=NC(=N2)N3C4=C(C5=C(C=C4)OCO5)N=C3C(F)F)N6CCOCC6,7.33
21146,P42338,C1CN(C2=CC=CC=C21)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,8.11
20235,P42338,CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)C(=O)C)C(=NC=N2)N,5.1
21103,P42338,C1COCCN1C2=NC3=C(S2)C(=O)N=CN3CC4=C(C(=CC=C4)Cl)Cl,8.0
20591,P42338,C1COCCN1C2=CC(=O)N3C=CC=C(C3=N2)NC(=O)NC4=CC=CC=C4,6.2
21075,P42338,CC(C1=C2C(=CC(=C1)C(=O)N3CCOCC3)C(=O)C=C(O2)N4CCOCC4)NC5=CC(=CC(=C5)F)F,7.913333333333332
20158,P42338,C1CN(CCC1O)C2=CC(=O)N=C(N2)NCC3=CC=CC4=CC=CC=C43,4.51
20244,P42338,CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)C(=O)N)Cl)C(=NC=N2)N,5.15
21171,P42338,CN(C)C1CCN(CC1)C(=O)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)C4=NC(=NC(=N4)N5CCOCC5)N6CCOCC6,8.22
21140,P42338,CC(C1=CC(=CN2C1=NC(=CC2=O)N3CCOCC3)C(=O)N(C)CCO)NC4=CC(=CC(=C4)F)F,8.1
21090,P42338,C[C@H](C1=C2C(=CC(=C1)C(=O)N(C)C)C(=O)C=C(O2)N3CCOCC3)NC4=CC(=C(C=C4)F)F,7.96
21283,P42338,C1COCCN1C2=NC(=NC(=N2)N3C4=C(C(=CC=C4)O)N=C3C(F)F)N5CCOCC5,8.815000000000003
20755,P42338,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(CCN2CCOCC2)/N=C/C3=C4C=C(C=CN4N=C3)C#N,6.64
20586,P42338,CC(C)N1C2=C(C(=N1)C#CC3=CN=CC=C3)C(=NC=N2)N,6.18
21023,P42338,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)CO,7.72
20322,P42338,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)NC(=O)N4CCOCC4)C=C2,5.4
20817,P42338,CC1=C(C=C(C=C1)C#N)S(=O)(=O)N(C)/N=C/C2=C3C=C(C=CN3N=C2)C#N,6.89
20250,P42338,CC1(CC2=C(C(=O)C1)SC(=N2)N3CCOCC3CC4=CC=CC5=CC=CC=C54)C,5.16
20653,P42338,C1=CC(=CN=C1)C#CC2=CC3=C4C(=CN=C3C=C2)N=CN4C5=CC=C(C=C5)CC#N,6.36
20398,P42338,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC=C(C=C3)N4C=CC=N4,5.68
20739,P42338,C1COCCN1C2=CC(=O)C3=C(O2)C(=CS3)C4=CC=C(C=C4)NC(=O)C5=CN=CC=C5,6.61
20381,P42338,CCOC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)CC=C)OC,5.61
