,target_id,smiles,pAc
29809,Q05397,CC(C)(C)NS(=O)(=O)C1=CC=CC(=C1)C2=CC=C3N2N=C(N=C3)NC4=CC=C(C=C4)C5CCN(CC5)CC(=O)N,7.055
29911,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=C3C=CN(C3=N2)C4=CC=CC(=C4)C(=O)O,7.42
29608,Q05397,COC1=CC=C(C=C1)NC2=NN3C=CC=C(C3=N2)C4=CNN=C4,6.47
29247,Q05397,C1C(N(N=C1C2=CC(=C(C=C2)Cl)Cl)C(=S)N)C3=CC4=CC=CC=C4C=C3,5.0
29408,Q05397,C1=CC(=C(C=C1CCNC(=O)/C(=N\O)/CC2=CC(=C(C(=C2)C3=CC(=CC(=C3O)Br)C/C(=N/O)/C(=O)NCCC4=CC(=C(C=C4)O)Br)O)Br)Br)O,5.68
29435,Q05397,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=N2)NC3=C(C=C(C=C3)OC)OC,5.82
29596,Q05397,CN(C)C(=O)CN1CCC(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)C5=C(C=CC(=C5)C(F)(F)F)OC,6.416666666666666
30107,Q05397,CC1=C2CCC(=O)C2=C(C=C1)OC3=NC(=NC=C3C(F)(F)F)NC4=C(C=C(C(=C4)F)C(=O)NC5CCN(CC5)C)OC,8.52
29882,Q05397,CNC(=O)C1=CC=CC=C1NC2=NC(=NC3=NC=CN32)NC4=CC=C(C=C4)CNC(=O)OC=C,7.3
29348,Q05397,CC(C)(C)OC(=O)N1CCC(CC1)C2=CC=C(C=C2)NC3=NN4C=CC=C(C4=N3)C5=CN=C(C=N5)OC,5.415
29207,Q05397,CC(=O)NC1=CC=CC=C1NC2=NC(=NC=N2)NC3=C(C=C(C=C3)OC)OC,4.68
29680,Q05397,CC1=CC(=CC=C1)N2C=CC3=CN=C(N=C32)NC4=CC(=C(C(=C4)OC)OC)OC,6.66
30046,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=C(C(=CC=C4)Cl)C#N)C(F)(F)F)OC,8.1
29841,Q05397,CN1CCN(CC1)C2CCN(CC2)C3=CC(=CC=C3)NC4=NN5C=CC=C(C5=N4)C6=CC=C(C=C6)S(=O)(=O)C,7.176666666666668
29242,Q05397,CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CCC2=O)C)[C@H](C)/C=C/CC(C)C,5.0
29998,Q05397,CC1=C(SC(=N1)[C@@](C)(CO)O)C2=CC(=C(N=C2)N)O[C@H](C)C3=C(C=CC(=C3)F)N4N=CC=N4,7.8
29744,Q05397,C1CNCCC2=C1C=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=C(C=CC(=C5)Cl)OCC(F)F,6.855
29686,Q05397,CN(C)C(=O)CN1CCC(CC1)C2=CC=C(C=C2)NC3=NN4C=CC=C(C4=N3)C5=C(C=C(C=C5)C(F)F)OC,6.676666666666666
29960,Q05397,CN1CC2=C(C1)C=C(C=C2)NC3=NN4C=CC=C(C4=N3)NCC5=CC=CC=C5N(C)S(=O)(=O)C,7.583333333333332
29600,Q05397,CN1CCN(CC1)C2CCN(CC2)C3=CC=C(C=C3)C4=CC=CN5C4=NC(=N5)NC6=CC=CC(=C6)N7CCN(CC7)C,6.435
29576,Q05397,CCNC(=O)CC1=CC(=CC=C1)N2C=CC3=CN=C(N=C32)NC4=CC(=C(C(=C4)OC)OC)OC,6.38
29731,Q05397,CN1C=CC2=C1C=CC(=C2)NC3=NC=C(C(=N3)NCC4=CC=CC=N4)C(F)(F)F,6.8
29383,Q05397,CC(C)OC1=C(C=C(C=C1)C(F)(F)F)C2=CC=CN3C2=NC(=N3)NC4=CC5=C(CCN(CC5)CC(=O)N(C)C)C=C4,5.5566666666666675
29904,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OCC4CCCCO4)C(F)(F)F)OC,7.4
29349,Q05397,CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)NCC5=CC=C(C=C5)F,5.42
29640,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=C3C=CN(C3=N2)C4=CC=CC(=N4)C(=O)NCC#N,6.56
30002,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=CC(=N3)OC4=CC=CC5=C4C(=O)N(C5)C)OC,7.8
29867,Q05397,CS(=O)(=O)C1=CC=CC(=C1)C2=CC=CN3C2=NC(=N3)NC4=CC=C(C=C4)OCCN5CCCC5,7.25
29260,Q05397,C1=CC=C(C(=C1)CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3)Br,5.01
29374,Q05397,C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)NC3=NC=C(C(=N3)OCCCNC(=O)C(F)(F)F)C(F)(F)F,5.52
29773,Q05397,COC1=CC(=C(C=C1)C2=CC=CN3C2=NC(=N3)NC4=CC=C(C=C4)C5CCNCC5)F,6.933333333333333
29995,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NN3C(=CC=C3C4=CC=CC=C4)C=N2,7.77
29941,Q05397,CS(=O)(=O)C1=CC=C(C=C1)C2=CC=CN3C2=NC(=N3)NC4=CC=C(C=C4)OCCN5CCOCC5,7.51
29850,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=C(C=C4)C(=O)N(C)C)C(F)(F)F)OC,7.19
29897,Q05397,COC1=CC=CC(=C1)NC2=NN3C=CC=C(C3=N2)C4=CC=C(C=C4)S(=O)(=O)C,7.363333333333332
29717,Q05397,C1CCN(C1)S(=O)(=O)C2=CC=CC=C2CNC3=NC(=NC=C3C(F)(F)F)NC4=CC5=C(C=C4)NC(=O)C5,6.77
29652,Q05397,CC1=C(C(=CC=C1)OC2=NC(=NC=C2C(F)(F)F)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)N(C)C(=O)C,6.61
29533,Q05397,C1CNCCC2=C1C=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=C6C(=CC=C5)OC(O6)(F)F,6.243333333333332
30142,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC5=C4C(=O)CC5)C(F)(F)F)OC,8.7
30243,Q05397,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)C(=O)NC4)S(=O)(=O)C,9.3
29399,Q05397,CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)NCC5=CN=CC=C5,5.633333333333333
30186,Q05397,CN1CC2=C(C1=O)C(=CC=C2)OC3=NC(=NC=C3C(F)(F)F)NC4=C(C=C(C=C4)CN(C)C)OC,9.0
30114,Q05397,CC1C2=C(C(=CC=C2)OC3=NC(=NC=C3C(F)(F)F)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C(=O)N1CCF,8.52
29479,Q05397,COC1=NC=C(C=C1C2=CC=CN3C2=NC(=N3)NC4=CC=C(C=C4)C5CCNCC5)C(F)(F)F,6.039999999999999
29913,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC5=C(C=C4)N=CN5)C(F)(F)F)OC,7.42
29214,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=NC(=N2)NC3=CC=CC=C3C(=O)OC,4.75
29262,Q05397,CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CCC2=O)C)[C@H](C)CCCC(C)C,5.02
29302,Q05397,COC1=CC(=CC(=C1OC)OC)NC2=NC=C3C=CN(C3=N2)C4=CC=C(C=C4)C(=O)OC,5.19
29858,Q05397,CNC(=O)C1=CC=C(C=C1)OC2=NC(=NC=C2C(F)(F)F)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC,7.21
29308,Q05397,CC1=CC(=C(C=C1)OCC(C)C)C2=CC=CN3C2=NC(=N3)NC4=CC5=C(CCNCC5)C=C4,5.255
29683,Q05397,COC1=NC=C(C=C1)C2=CC=C3N2N=C(N=C3)NC4=CC=C(C=C4)C5CCN(CC5)CC(=O)N,6.665
30108,Q05397,CN1CC2=C(C1=O)C(=CC=C2)OC3=NC(=NC=C3C(F)(F)F)NC4=C(C=C(C=C4)C(=O)NC5CCOCC5)OC,8.52
29223,Q05397,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC(=CC=C3)Br)C4=CC=NC=C4,4.83
29564,Q05397,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=NNC(=C3)C4=CC5=NC=CN=C5C=C4,6.33
29293,Q05397,CC(C)(C)C1=CC=C(C=C1)N2C=CC3=CN=C(N=C32)NC4=CC(=C(C(=C4)OC)OC)OC,5.14
29343,Q05397,CN1CCN(CC1)C2=CC(=CC=C2)NC3=NN4C=CC=C(C4=N3)OC5=CC=C(C=C5)S(=O)(=O)C,5.3900000000000015
30237,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2F)NC3=NC=C(C(=N3)OC4=CC=CC5=C4C(=O)N(C5)OC)Cl)OC,9.0
29332,Q05397,CS(=O)(=O)C1=CC=C(C=C1)C2=CC=CN3C2=NC(=N3)NCCC4=CN=CC=C4,5.35
29549,Q05397,CNC(=O)C1=CC=CC=C1NC2=NC3=NC=CN3C(=N2)NC4=C(C=C(C=C4)N5CCOCC5)OC,6.29
29209,Q05397,C1COC2=C(C=CC=C2O1)C(=O)OCCN3C(=CN=C3/C=C\C4=CC=CC=C4)[N+](=O)[O-],4.69
30235,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2Cl)NC3=NC=C(C(=N3)OC4=CC=CC5=C4C(=O)CC5)C#N)OC,9.0
29196,Q05397,CCOCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC,4.55
30099,Q05397,CC1=C(C=CC(=C1)C(=O)NOC)NC2=NC=C(C(=N2)OC3=CC=CC4=C3C(=O)N(C4)C)C(F)(F)F,8.52
29871,Q05397,CS(=O)(=O)C1=CC=C(C=C1)C2=CC=CN3C2=NC(=N3)NC4=CC=C(C=C4)CN5CCOCC5,7.253333333333333
29901,Q05397,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)CC(=O)N(C)C)C(F)(F)F)OC,7.39
30096,Q05397,CCN1CCC(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)CCC4=CC=CC=C4CC(=O)N)C(F)(F)F)OC,8.44
