,target_id,smiles,pAc
30330,Q16539,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,4.74
33081,Q16539,CCNC(=O)NCC1=CC=CC=C1C2=CC(=NC(=N2)NCCN(C)C)C3=CN=C(S3)NC(C)C,8.15
30704,Q16539,CC(C)N1C2=NC(=NC=C2N=C1NC3=CC=CC=C3F)NC4=CC=C(C=C4)OC,5.68
30779,Q16539,CC(C)(CO)C1=C(C=C(C=C1)CNC(=O)C2=CC=C(C=C2)OC3=CC=CC=C3)O,5.8
32599,Q16539,CC1=C(C=C(C=C1)C(=O)NC)NC2=NC=NC3=C2C=NN3C4=C(C=C(C=C4C)C)C,7.62
32876,Q16539,CC1=C(C=C(C=C1)C(=O)NC)NC2=NC(=NC3=C2C=NN3C4=CC=CC=C4)N5CCCC5,7.92
30924,Q16539,CC(=O)NC1=NC=CC(=C1)C2=C(N=C(N2C)[S@](=O)C)C3=CC=C(C=C3)F,5.99
33441,Q16539,CC1=C(C=C(C=C1)C(=O)NC2CC2)NC3=C4C=NN(C4=CN=N3)C5=C(C=CC=C5F)F,8.77
32277,Q16539,C1CSC2=NC(=C(N21)C3=CC(=NC=C3)NC(=O)CC4=CC=C(C=C4)F)C5=CC=C(C=C5)F,7.34
31631,Q16539,CC1=CC(=C(C(=O)N1C2=CN=C(N=C2)C)Br)OCC3=C(C=C(C=C3)F)F,6.74
30683,Q16539,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)C#N)N3C(=NC4=C(C3=O)C=C(C=C4)N5CCN(CC5)C)C,5.652
30452,Q16539,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,5.21
31442,Q16539,COC1=CC2=C(CCC3=C(C2=O)C=CC(=C3)NC4=C(C=C(C=C4)F)N)C=C1,6.5600000000000005
31426,Q16539,CC1=C(C=C(C=C1)C2=NN=C(O2)C)C3=CC=C(C=C3)C(=O)NCC4=CC=C(C=C4)NS(=O)(=O)C,6.55
31937,Q16539,CCN1C2=C(C=C(C=C2)C3=C(NC=N3)C4=CC=C(C=C4)F)N(C1=O)CC,7.0
