target_id,smiles,pAc
P43405,C1=CC=C(C=C1)C(C(=O)O)C(=O)O,1.92
P43405,C1=CC=C(C=C1)/C=C/S(=O)(=O)NCCCCCC(=O)O,2.1
P43405,C1C/C=C\CCC(C1)C(C(=O)O)C(=O)O,2.11
P43405,C1CCC(CC1)C(C(=O)O)C(=O)O,2.23
P43405,C[C@H]([C@@H]1CC(=O)NC1)OC2=NC=CC3=C2C=CC=N3,2.67
P43405,C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)OP(=O)(O)O)NC(=O)C)O,3.24
P43405,C[C@@H](C1=NC(=NO1)CC2=CC(=C(C=C2)I)Cl)NC(=O)[C@H](CC3=CC=C(C=C3)OP(=O)(O)O)NC(=O)C,3.33
P43405,C[C@@H](C1=NC(=NO1)CC2=CC=C(C=C2)I)NC(=O)[C@H](CC3=CC=C(C=C3)OP(=O)(O)O)NC(=O)C,3.33
P43405,CC(=O)N[C@@H](CC1=CC=C(C=C1)OP(=O)(O)O)C(=O)N[C@@H](CO)C2=NC(=NO2)CC3=CC=C(C=C3)I,3.34
P43405,C[C@@H](C1=NC(=NO1)CC2=CC(=C(C=C2)Cl)Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)OP(=O)(O)O,3.36
P43405,C[C@@H](C1=NC(=NO1)CC2=CC=C(C=C2)C(F)(F)F)NC(=O)[C@H](CC3=CC=C(C=C3)OP(=O)(O)O)NC(=O)CC4=CNC5=CC=CC=C54,3.36
P43405,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)OP(=O)(O)O)NC(=O)C,3.38
P43405,C[C@@H](C1=NC(=NO1)CC2=CC=C(C=C2)C(F)(F)F)NC(=O)[C@H](CC3=CC=C(C=C3)OP(=O)(O)O)NC(=O)CC4=CC(=C(C=C4)F)F,3.4
