target_id,smiles,pAc
P48736,C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC=C2)S(=O)(=O)F)NC(=O)COC3=C(C=C(C=C3)Cl)C(=O)O,2.04
P48736,COC1=CC2=CC3=[N+](C=CC4=CC(=C(C=C43)OC)OC)C(=C2C=C1OC)CCC(=O)O,2.13
P48736,COC1=C(C=C(C=C1)C(CC(=O)O)C2=CC(=C(C(=C2)OC)OC)OC)OC,2.22
P48736,COC1=C(C=CC(=C1)C(CC(=O)O)CC(=O)O)OCC2=CC=CC=C2,2.23
P48736,CC(CCCC(=O)C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,2.29
P48736,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2.72
P48736,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)S(=O)CC(=O)O)C=CC=C4C2=O,2.8
P48736,CN1C2=C(C(=O)N(C1=O)C)NC=N2,2.82
P48736,CC1=CC(=C(C=C1C(=O)O)C)SSC2=C(C=C(C(=C2)C)C(=O)O)C,2.84
P48736,CCOC1=CC=C(C=C1)NC2=CC3=CC(=CC(=C3C=C2)O)S(=O)(=O)O,3
P48736,CC(C1=NC2=C(C3CCCN3C(=S)N2C4=CC=CC=C4)C(=N1)N5CCOCC5)N6CCOCC6,3.01
P48736,CC1=CC(=NC2=CC(=NN12)N)C,3.04
P48736,C1CC2C3=C(N=C(N=C3N4CCOCC4)CN5CCOCC5)N(C(=S)N2C1)C6=CC=CC=C6,3.11
P48736,CC1=NN2C=CC=NC2=C1C#N,3.11
P48736,CCN1C(=O)/C(=C\C2=C(C=CC(=C2)[N+](=O)[O-])OCC(=O)O)/SC1=S,3.21
P48736,COC1=CC(=CC(=C1OC)OC)C[C@@H](CC(=O)C2=CC3=C(C=C2)OCO3)C(=O)O,3.24
P48736,COC1=CC=CC(=C1)C2=NC3=C(C4CCCN4C(=S)N3C5=CC=CC=C5)C(=N2)N6CCOCC6,3.33
P48736,CC(C)C1=NN2C=CC=NC2=C1C#N,3.4
P48736,C1=CC2=C(C=C1Cl)OC(=N2)N,3.42
P48736,COC1=CC=C(C=C1)C2=NC3=C(C4CCCN4C(=S)N3C5=CC=CC=C5)C(=N2)N6CCOCC6,3.46
P48736,C1=CC=C(C=C1)COC(=O)NC(CC2=CC=C(C=C2)OC(=O)OCC3=CC=CC=C3)C(=O)O,3.49
P48736,COC1=C(C=C(C=C1)C(CC(=O)C2=CC3=C(C=C2)OCO3)C(=O)O)OC,3.63
P48736,CCCCN1C(=NC2=CC=CC=C2C1=O)CSC3=NC=NC4=C3NC=N4,3.66
P48736,C1=CC=C(C(=C1)C(=O)O)SC(C2=CC(=CC=C2)Cl)SC3=CC=CC=C3C(=O)O,3.73
P48736,C1=CC2=NC(=CN2C=C1Br)N,3.81
P48736,C1=CC=C(C(=C1)N2C(=NC3=C(C2=O)C=CC(=C3)F)CSC4=NC=NC5=C4NC=N5)Cl,3.84
P48736,C1COCCN1N2C(=NC3=CC=CC=C3C2=O)CSC4=NC=NC5=C4NC=N5,3.86
P48736,CCCCOC1=C(C=C(C=C1)C(CC(=O)O)CC(=O)O)OC,3.87
P48736,CCN1C2=C(C3CCCN3C1=S)C(=NC(=N2)C4=CC=C(C=C4)OC)N5CCOCC5,3.9
P48736,COC1=C(C=C2C(=C1)C=C(N2)C(=O)O)OCC3=CC=CC=C3,3.98
P48736,C1CCC(C1)N2C3=C(C(=N2)C4=CC5=C(C=C4)NC(=O)C=C5)C(=NC=N3)N,4
P48736,C1COCCN1C2=CC(=C(C=C2)C(=O)C3=CC=CC=C3)O,4
P48736,CC1=CC=CC=C1CNC2=CC(=CN3C2=NC(=CC3=O)N4CCOCC4)C,4
P48736,CC(C)N1C2=C(C(=N1)C3=CC4=CC=CC=C4N=C3Cl)C(=NC=N2)N,4
P48736,C1=CC=C(C=C1)C2=C(OC=N2)CN3C4=C(C(=N3)C5=CC(=C(C=C5)F)O)C(=NC=N4)N,4
P48736,CC(C)(C)N1C2=C(C(=N1)C3=CC4=CC=CC=C4C=C3)C(=NC=N2)N,4
P48736,CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)NC(C)CO)OC)C(=NC=N2)N,4
P48736,CC(C)N1C2=C(C(=N1)C3=CC(=C(C(=C3)OC)OC)OC)C(=NC=N2)N,4
P48736,CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)C=NC=C4)C(=NC=N2)N,4
P48736,CN1C2=C(C(=N1)C3=CC=CC(=C3)C4=CC=CC=C4)C(=NC=N2)N,4
